Condition,Fold,Alpha,Beta,Tau,Test_LL
80-20,0,0.7995783686637878,1.7283438444137573,1.7199432849884033,-0.17748123
80-20,1,0.8262617588043213,1.739059567451477,1.7358949184417725,-0.1993751
80-20,2,0.8242564797401428,1.6892071962356567,1.7336457967758179,-0.16747047
80-20,3,0.8234648704528809,1.7114375829696655,1.7319191694259644,-0.18629381
80-20,4,0.7911808490753174,1.7443069219589233,1.7084091901779175,-0.17951702
70-30,0,1.1036944389343262,1.6393094062805176,1.8759915828704834,-0.21149057
70-30,1,1.0531883239746094,1.658707857131958,1.8492592573165894,-0.18821414
70-30,2,1.0835515260696411,1.6516060829162598,1.8452240228652954,-0.19114532
70-30,3,1.0540035963058472,1.6812677383422852,1.8200129270553589,-0.19573446
70-30,4,1.066158652305603,1.6738213300704956,1.8363679647445679,-0.2000711
