model,metric,U,p,med_70,med_80,n_70,n_80,p_fdr
HMM,reward_per_session,24.0,2.101513418022237e-59,0.6119989828055007,0.717687074829932,200,159,1.5665446724511347e-58
Sticky HMM,reward_per_session,37.0,2.610907787418558e-59,0.6223219027616841,0.7291960507757405,200,159,1.5665446724511347e-58
Mouse,reward_per_session,355.0,4.998277533128424e-57,0.5938562959386233,0.700709219858156,200,159,1.1995866079508218e-56
RFLR,reward_per_session,342.0,4.0404370152784e-57,0.5961477119371856,0.6881851400730816,200,159,1.1995866079508218e-56
HMM,reward_per_switch,192.0,3.426220034738308e-58,2.5886420342942085,4.661016949152542,200,159,1.3704880138953233e-57
Sticky HMM,reward_per_switch,8568.0,6.087870858425913e-14,16.363636363636363,20.875,200,159,1.0436350043015852e-13
RFLR,reward_per_switch,10232.0,6.532036541244388e-09,8.270208604954368,9.418181818181818,200,159,9.798054811866581e-09
Mouse,reward_per_switch,13496.5,0.013883920387041112,9.148148148148149,10.716981132075471,200,159,0.01666070446444933
HMM,switches,30317.5,2.6051380895626708e-49,181.0,113.0,200,159,5.2102761791253416e-49
Sticky HMM,switches,20175.0,1.1877993001040964e-05,29.0,26.0,200,159,1.5837324001387952e-05
RFLR,switches,17472.0,0.10751101917687822,56.0,54.0,200,159,0.11728474819295806
Mouse,switches,16808.0,0.35275578735911584,52.0,48.0,200,159,0.35275578735911584
