cond,metric,m1,m2,U,p,med_m1,med_m2,p_fdr
70-30,reward_per_session,RFLR,Sticky HMM,330.0,2.88329740317094e-05,0.5924536813952661,0.6226190476190476,3.70709666121978e-05
70-30,reward_per_session,HMM,RFLR,998.0,0.008964069883784564,0.6087484811664642,0.5924536813952661,0.00949136811224248
70-30,reward_per_session,HMM,Sticky HMM,509.0,0.012127852975401301,0.6087484811664642,0.6226190476190476,0.012127852975401301
80-20,reward_per_session,RFLR,Sticky HMM,277.0,2.330005744876079e-06,0.6914364941772335,0.7257072570725708,3.226161800597648e-06
80-20,reward_per_session,HMM,Sticky HMM,444.5,0.0016161747718540908,0.7088414634146342,0.7257072570725708,0.001939409726224909
80-20,reward_per_session,HMM,RFLR,1018.0,0.004844760135667038,0.7088414634146342,0.6914364941772335,0.005450355152625418
70-30,reward_per_switch,HMM,RFLR,0.0,4.531904407937055e-14,2.554140127388535,6.515429608713191,1.0130118362771409e-13
70-30,reward_per_switch,HMM,Sticky HMM,0.0,3.078637555679825e-14,2.554140127388535,19.272727272727273,1.0130118362771409e-13
70-30,reward_per_switch,RFLR,Sticky HMM,4.0,6.190627888360306e-14,6.515429608713191,19.272727272727273,1.0130118362771409e-13
80-20,reward_per_switch,HMM,RFLR,2.0,5.297810788315515e-14,4.553030303030303,9.544237288135594,1.0130118362771409e-13
80-20,reward_per_switch,HMM,Sticky HMM,0.0,3.078637555679825e-14,4.553030303030303,23.92,1.0130118362771409e-13
80-20,reward_per_switch,RFLR,Sticky HMM,7.0,7.813748060720412e-14,9.544237288135594,23.92,1.1720622091080617e-13
70-30,switches,HMM,RFLR,1482.0,4.454926772154207e-14,182.0,71.0,1.0130118362771409e-13
70-30,switches,HMM,Sticky HMM,1521.0,3.011960769888873e-14,182.0,26.0,1.0130118362771409e-13
70-30,switches,RFLR,Sticky HMM,1482.0,4.412689460967375e-14,71.0,26.0,1.0130118362771409e-13
80-20,switches,HMM,RFLR,1482.0,4.4583219744032066e-14,116.0,54.0,1.0130118362771409e-13
80-20,switches,HMM,Sticky HMM,1521.0,3.00637253098184e-14,116.0,23.0,1.0130118362771409e-13
80-20,switches,RFLR,Sticky HMM,1478.0,6.049980263019286e-14,54.0,23.0,1.0130118362771409e-13
